,name,counts
233,Lotus Vietnamese Sandwiches,1
234,Stand Up,1
235,Momochai,1
236,Mr.Buncha,1
237,mellow tea,1
238,MÖGE TEE Forest Hills,1
239,MomenTea Kitchen,1
240,Sweets Bakery,1
241,Juicy Cube,1
242,Zai's Dessertery,1
243,Gong Cha Bronx,1
244,Lil M Bubble Tea,1
245,Moge Tee - Bayside,1
246,Pearl Dynastea,1
247,Taiyaki NYC - Williamsburg ,1
248,PARTEA NYC,1
249,In Cha,1
250,Banh Mi Place,1
251,Tea Hub,1
252,Pig Pig Cafe,1
253,One More Charm,1
254,Chokolat Patisserie & Culture Tea Bar,1
255,Siips Bubble,1
256,Yummy Boba Desserts,1
257,Bread & Joe,1
258,Maxin's Cafe,1
